ip,time,request,status,size,method,endpoint,protocol,is_failed_login,hour,day
83.149.9.216,2015-05-17 10:05:03+00:00,GET /presentations/logstash-monitorama-2013/images/kibana-search.png HTTP/1.1,200,203023,GET,/presentations/logstash-monitorama-2013/images/kibana-search.png,HTTP/1.1,False,10,Sunday
83.149.9.216,2015-05-17 10:05:43+00:00,GET /presentations/logstash-monitorama-2013/images/kibana-dashboard3.png HTTP/1.1,200,171717,GET,/presentations/logstash-monitorama-2013/images/kibana-dashboard3.png,HTTP/1.1,False,10,Sunday
83.149.9.216,2015-05-17 10:05:47+00:00,GET /presentations/logstash-monitorama-2013/plugin/highlight/highlight.js HTTP/1.1,200,26185,GET,/presentations/logstash-monitorama-2013/plugin/highlight/highlight.js,HTTP/1.1,False,10,Sunday
83.149.9.216,2015-05-17 10:05:12+00:00,GET /presentations/logstash-monitorama-2013/plugin/zoom-js/zoom.js HTTP/1.1,200,7697,GET,/presentations/logstash-monitorama-2013/plugin/zoom-js/zoom.js,HTTP/1.1,False,10,Sunday
83.149.9.216,2015-05-17 10:05:07+00:00,GET /presentations/logstash-monitorama-2013/plugin/notes/notes.js HTTP/1.1,200,2892,GET,/presentations/logstash-monitorama-2013/plugin/notes/notes.js,HTTP/1.1,False,10,Sunday
83.149.9.216,2015-05-17 10:05:34+00:00,GET /presentations/logstash-monitorama-2013/images/sad-medic.png HTTP/1.1,200,430406,GET,/presentations/logstash-monitorama-2013/images/sad-medic.png,HTTP/1.1,False,10,Sunday
83.149.9.216,2015-05-17 10:05:57+00:00,GET /presentations/logstash-monitorama-2013/css/fonts/Roboto-Bold.ttf HTTP/1.1,200,38720,GET,/presentations/logstash-monitorama-2013/css/fonts/Roboto-Bold.ttf,HTTP/1.1,False,10,Sunday
83.149.9.216,2015-05-17 10:05:50+00:00,GET /presentations/logstash-monitorama-2013/css/fonts/Roboto-Regular.ttf HTTP/1.1,200,41820,GET,/presentations/logstash-monitorama-2013/css/fonts/Roboto-Regular.ttf,HTTP/1.1,False,10,Sunday
83.149.9.216,2015-05-17 10:05:24+00:00,GET /presentations/logstash-monitorama-2013/images/frontend-response-codes.png HTTP/1.1,200,52878,GET,/presentations/logstash-monitorama-2013/images/frontend-response-codes.png,HTTP/1.1,False,10,Sunday
83.149.9.216,2015-05-17 10:05:50+00:00,GET /presentations/logstash-monitorama-2013/images/kibana-dashboard.png HTTP/1.1,200,321631,GET,/presentations/logstash-monitorama-2013/images/kibana-dashboard.png,HTTP/1.1,False,10,Sunday
83.149.9.216,2015-05-17 10:05:46+00:00,GET /presentations/logstash-monitorama-2013/images/Dreamhost_logo.svg HTTP/1.1,200,2126,GET,/presentations/logstash-monitorama-2013/images/Dreamhost_logo.svg,HTTP/1.1,False,10,Sunday
